Name: name2
Start coordinates: (11, 123, 3)
Velocity: (11, 234, 12)
t - time past
r - real
p - predicted
s - sigma

t: 217	r: 260194 5.53492e+06 283839	p: 261276 5.53232e+06 283839	s: 0.00139448
t: 218	r: 262592 5.58594e+06 286455	p: 262771 5.58305e+06 286455	s: 0.000285499
t: 219	r: 265001 5.63718e+06 289083	p: 263050 5.63398e+06 289083	s: 0.00246117
t: 220	r: 267421 5.68866e+06 291723	p: 269336 5.69137e+06 291723	s: 0.00239202
t: 221	r: 269852 5.74038e+06 294375	p: 269735 5.73734e+06 294375	s: 0.000228357
t: 222	r: 272294 5.79232e+06 297039	p: 270469 5.78907e+06 297039	s: 0.00224247
t: 223	r: 274747 5.84451e+06 299715	p: 272037 5.84291e+06 299715	s: 0.00328963
t: 224	r: 277211 5.89692e+06 302403	p: 278879 5.89389e+06 302403	s: 0.00201332
t: 225	r: 279686 5.94957e+06 305103	p: 284159 5.94191e+06 305103	s: 0.00534798
t: 226	r: 282172 6.00246e+06 307815	p: 279220 6.00023e+06 307815	s: 0.00348956
t: 227	r: 284669 6.05558e+06 310539	p: 281967 6.05117e+06 310539	s: 0.00317286
t: 228	r: 287177 6.10893e+06 313275	p: 290549 6.1127e+06 313275	s: 0.0039199
t: 229	r: 289696 6.16251e+06 316023	p: 290401 6.16617e+06 316023	s: 0.000834744
t: 230	r: 292226 6.21633e+06 318783	p: 290458 6.21885e+06 318783	s: 0.00202173
t: 231	r: 294767 6.27039e+06 321555	p: 297529 6.26029e+06 321555	s: 0.00316949
t: 232	r: 297319 6.32468e+06 324339	p: 291871 6.32057e+06 324339	s: 0.00611164
t: 233	r: 299882 6.3792e+06 327135	p: 307582 6.38247e+06 327135	s: 0.00856107
t: 234	r: 302456 6.43395e+06 329943	p: 299366 6.43889e+06 329943	s: 0.0034156
t: 235	r: 305041 6.48894e+06 332763	p: 304663 6.48303e+06 332763	s: 0.000512994
t: 236	r: 307637 6.54417e+06 335595	p: 307182 6.5445e+06 335595	s: 0.000493646
t: 237	r: 310244 6.59962e+06 338439	p: 307971 6.59808e+06 338439	s: 0.0024437
t: 238	r: 312862 6.65532e+06 341295	p: 308943 6.65281e+06 341295	s: 0.00417748
t: 239	r: 315491 6.71124e+06 344163	p: 313039 6.71531e+06 344163	s: 0.00259822
